year,host_city,host_country,country_code,country_name,sport,event,athlete_name,medal
2008,Beijing,CHN,ITA,Italy,Athletics,Athletics event,Omar Nielsen,Gold
1988,Seoul,KOR,URS,Soviet Union,Football,Football team event,Elena Kovac,Silver
2008,Beijing,CHN,ITA,Italy,Rowing,Rowing team event,Diego Tanaka,Silver
2016,Rio,BRA,JPN,Japan,Volleyball,Volleyball team event,Pavel Kovac,Silver
1996,Atlanta,USA,NED,Netherlands,Volleyball,Volleyball team event,Pavel Muller,Gold
2008,Beijing,CHN,ESP,Spain,Wrestling,Wrestling event,Nadia Wang,Silver
1972,Munich,FRG,GDR,East Germany,Athletics,Athletics event,Diego Costa,Bronze
2016,Rio,BRA,USA,United States,Boxing,Boxing event,Omar Smith,Bronze
1968,Mexico City,MEX,USA,United States,Volleyball,Volleyball team event,John Smith,Gold
2016,Rio,BRA,USA,United States,Swimming,Swimming event,Sven Lopez,Gold
2004,Athens,GRC,AUS,Australia,Rowing,Rowing team event,Liu Ahmed,Silver
2008,Beijing,CHN,ESP,Spain,Relays,Relays team event,John Petrov,Bronze
2012,London,GBR,FRA,France,Basketball,Basketball team event,Sofia Petrov,Bronze
1968,Mexico City,MEX,KOR,South Korea,Relays,Relays team event,Nadia Ahmed,Silver
1992,Barcelona,ESP,RUS,Russia,Basketball,Basketball team event,Elena Kovac,Silver
1968,Mexico City,MEX,CAN,Canada,Swimming,Swimming event,Ana Kim,Bronze
1996,Atlanta,USA,BRA,Brazil,Hockey,Hockey team event,Maria Park,Bronze
1980,Moscow,URS,TCH,Czechoslovakia,Athletics,Athletics event,Yuki Lopez,Gold
1972,Munich,FRG,USA,United States,Swimming,Swimming event,Liu Costa,Silver
2012,London,GBR,RUS,Russia,Cycling,Cycling event,Omar Wang,Silver
1964,Tokyo,JPN,BRA,Brazil,Cycling,Cycling event,Kenji Okafor,Gold
1968,Mexico City,MEX,USA,United States,Hockey,Hockey team event,Ana Rossi,Silver
1976,Montreal,CAN,NED,Netherlands,Swimming,Swimming event,Wei Zhang,Bronze
2000,Sydney,AUS,CRO,Croatia,Football,Football team event,Maria Muller,Silver
1976,Montreal,CAN,CHN,China,Athletics,Athletics event,Ivan Silva,Bronze
1992,Barcelona,ESP,AUS,Australia,Volleyball,Volleyball team event,Lars Wang,Silver
1972,Munich,FRG,CHN,China,Handball,Handball team event,Sven Kovac,Bronze
2004,Athens,GRC,USA,United States,Athletics,Athletics event,Omar Park,Silver
1988,Seoul,KOR,JAM,Jamaica,Rowing,Rowing team event,Sofia Okafor,Gold
1976,Montreal,CAN,KOR,South Korea,Boxing,Boxing event,Ana Ahmed,Gold
1964,Tokyo,JPN,GBR,Great Britain,Hockey,Hockey team event,Pavel Tanaka,Bronze
1988,Seoul,KOR,GDR,East Germany,WaterPolo,WaterPolo team event,Ivan Zhang,Bronze
1972,Munich,FRG,HUN,Hungary,Wrestling,Wrestling event,Pavel Zhang,Bronze
1988,Seoul,KOR,KOR,South Korea,Volleyball,Volleyball team event,Anna Ahmed,Silver
1984,Los Angeles,USA,USA,United States,Handball,Handball team event,Elena Wang,Bronze
1992,Barcelona,ESP,NOR,Norway,Athletics,Athletics event,Omar Rossi,Gold
1972,Munich,FRG,GBR,Great Britain,Basketball,Basketball team event,Wei Rossi,Bronze
2012,London,GBR,JAM,Jamaica,Relays,Relays team event,Sofia Silva,Silver
1976,Montreal,CAN,URS,Soviet Union,Fencing,Fencing event,Sofia Muller,Bronze
1960,Rome,ITA,FRA,France,Football,Football team event,Elena Kovac,Silver
1984,Los Angeles,USA,ITA,Italy,Handball,Handball team event,Ivan Smith,Silver
1968,Mexico City,MEX,URS,Soviet Union,Basketball,Basketball team event,Sofia Wang,Silver
1984,Los Angeles,USA,ITA,Italy,Cycling,Cycling event,Lars Kovac,Silver
1960,Rome,ITA,URS,Soviet Union,WaterPolo,WaterPolo team event,Nadia Lopez,Silver
2008,Beijing,CHN,CHN,China,Hockey,Hockey team event,Liu Lopez,Bronze
1988,Seoul,KOR,YUG,Yugoslavia,Gymnastics,Gymnastics event,Ivan Okafor,Bronze
2012,London,GBR,CUB,Cuba,Rowing,Rowing team event,Ana Tanaka,Silver
1988,Seoul,KOR,TCH,Czechoslovakia,WaterPolo,WaterPolo team event,Elena Park,Gold
2012,London,GBR,GER,Germany,Weightlifting,Weightlifting event,Kenji Andersson,Bronze
2012,London,GBR,NED,Netherlands,Cycling,Cycling event,John Ahmed,Gold
1976,Montreal,CAN,USA,United States,Rowing,Rowing team event,Liu Petrov,Gold
2000,Sydney,AUS,GER,Germany,Volleyball,Volleyball team event,Pavel Smith,Silver
1996,Atlanta,USA,NED,Netherlands,Volleyball,Volleyball team event,Carlos Kovac,Bronze
2012,London,GBR,BRA,Brazil,Weightlifting,Weightlifting event,Lars Smith,Bronze
2000,Sydney,AUS,CAN,Canada,Basketball,Basketball team event,Maria Tanaka,Silver
1984,Los Angeles,USA,AUS,Australia,Swimming,Swimming event,Omar Rossi,Gold
1980,Moscow,URS,URS,Soviet Union,Fencing,Fencing event,Carlos Okafor,Bronze
1972,Munich,FRG,GDR,East Germany,Volleyball,Volleyball team event,Wei Kovac,Bronze
1996,Atlanta,USA,ITA,Italy,Swimming,Swimming event,Diego Novak,Gold
2012,London,GBR,GER,Germany,Wrestling,Wrestling event,Alex Rossi,Gold
1972,Munich,FRG,TCH,Czechoslovakia,Handball,Handball team event,Ana Wang,Bronze
1964,Tokyo,JPN,KOR,South Korea,Football,Football team event,Marco Novak,Gold
2004,Athens,GRC,CAN,Canada,WaterPolo,WaterPolo team event,Pavel Kim,Bronze
2004,Athens,GRC,CHN,China,Volleyball,Volleyball team event,Anna Lopez,Gold
1996,Atlanta,USA,USA,United States,WaterPolo,WaterPolo team event,Marco Silva,Silver
2000,Sydney,AUS,USA,United States,Gymnastics,Gymnastics event,Kenji Park,Silver
1972,Munich,FRG,USA,United States,Hockey,Hockey team event,Nadia Zhang,Bronze
2012,London,GBR,USA,United States,Athletics,Athletics event,John Tanaka,Bronze
1964,Tokyo,JPN,CUB,Cuba,Hockey,Hockey team event,Marco Lopez,Bronze
2004,Athens,GRC,SVK,Slovakia,Athletics,Athletics event,Marco Andersson,Silver
2012,London,GBR,GBR,Great Britain,Volleyball,Volleyball team event,Pavel Kovac,Bronze
1984,Los Angeles,USA,USA,United States,Wrestling,Wrestling event,Elena Silva,Bronze
1988,Seoul,KOR,BRA,Brazil,WaterPolo,WaterPolo team event,John Muller,Bronze
2008,Beijing,CHN,GBR,Great Britain,Hockey,Hockey team event,Sven Andersson,Silver
2008,Beijing,CHN,HUN,Hungary,Rowing,Rowing team event,Ivan Kim,Bronze
1992,Barcelona,ESP,GBR,Great Britain,Swimming,Swimming event,Nadia Lopez,Bronze
2000,Sydney,AUS,ITA,Italy,Shooting,Shooting event,Ana Rossi,Gold
2000,Sydney,AUS,CHN,China,Relays,Relays team event,Carlos Zhang,Silver
2000,Sydney,AUS,AUS,Australia,Wrestling,Wrestling event,Lars Novak,Silver
2008,Beijing,CHN,CAN,Canada,Swimming,Swimming event,Carlos Muller,Bronze
2012,London,GBR,GRC,Greece,Handball,Handball team event,Kenji Silva,Bronze
2016,Rio,BRA,GER,Germany,Handball,Handball team event,Elena Muller,Gold
1972,Munich,FRG,BRA,Brazil,Volleyball,Volleyball team event,Ana Smith,Silver
1992,Barcelona,ESP,RUS,Russia,Fencing,Fencing event,Ana Zhang,Bronze
1960,Rome,ITA,USA,United States,Volleyball,Volleyball team event,Yuki Silva,Bronze
1996,Atlanta,USA,NOR,Norway,Wrestling,Wrestling event,Diego Nielsen,Bronze
2004,Athens,GRC,RUS,Russia,Handball,Handball team event,Nadia Andersson,Bronze
2012,London,GBR,KOR,South Korea,Cycling,Cycling event,Ivan Nielsen,Silver
2012,London,GBR,GRC,Greece,Volleyball,Volleyball team event,Sofia Okafor,Bronze
1984,Los Angeles,USA,USA,United States,Weightlifting,Weightlifting event,Omar Novak,Bronze
2016,Rio,BRA,CRO,Croatia,Handball,Handball team event,Yuki Kim,Bronze
1992,Barcelona,ESP,GBR,Great Britain,Handball,Handball team event,Alex Wang,Silver
1960,Rome,ITA,USA,United States,Athletics,Athletics event,Diego Wang,Bronze
2016,Rio,BRA,USA,United States,WaterPolo,WaterPolo team event,Alex Zhang,Gold
2012,London,GBR,NOR,Norway,Relays,Relays team event,Ivan Lopez,Gold
2016,Rio,BRA,MEX,Mexico,Football,Football team event,Yuki Novak,Silver 
2004,Athens,GRC,USA,United States,Basketball,Basketball team event,Alex Tanaka,Bronze
1976,Montreal,CAN,HUN,Hungary,Rowing,Rowing team event,Sofia Tanaka,Gold
2012,London,GBR,ITA,Italy,Boxing,Boxing event,Ivan Costa,GOLD 
2008,Beijing,CHN,MEX,Mexico,Volleyball,Volleyball team event,Liu Wang,Gold
2012,London,GBR,KOR,South Korea,WaterPolo,WaterPolo team event,Diego Silva,Gold
2004,Athens,GRC,CHN,China,Volleyball,Volleyball team event,Carlos Costa,Gold
1992,Barcelona,ESP,CUB,Cuba,WaterPolo,WaterPolo team event,Pavel Petrov,Bronze
1996,Atlanta,USA,USA,United States,Rowing,Rowing team event,John Park,Silver
1964,Tokyo,JPN,AUS,Australia,Diving,Diving event,Omar Wang,Gold
2004,Athens,GRC,FRA,France,Shooting,Shooting event,Lars Zhang,Silver
1988,Seoul,KOR,BRA,Brazil,Handball,Handball team event,Yuki Ahmed,Silver
1964,Tokyo,JPN,JPN,Japan,Handball,Handball team event,Ivan Lopez,Bronze
1980,Moscow,URS,CHN,China,Shooting,Shooting event,Elena Costa,Bronze
2012,London,GBR,SVK,Slovakia,Gymnastics,Gymnastics event,Elena Andersson,Silver
2012,London,GBR,ESP,Spain,Rowing,Rowing team event,Ana Kovac,Bronze
2016,Rio,BRA,ESP,Spain,Relays,Relays team event,Anna Lopez,Gold
2016,Rio,BRA,CHN,China,Handball,Handball team event,Ivan Silva,bronze
2000,Sydney,AUS,ITA,Italy,WaterPolo,WaterPolo team event,Liu Andersson,Gold
1980,Moscow,URS,BRA,Brazil,Gymnastics,Gymnastics event,Liu Tanaka,Bronze
2008,Beijing,CHN,GER,Germany,WaterPolo,WaterPolo team event,Yuki Okafor,Silver
1980,Moscow,URS,TCH,Czechoslovakia,Athletics,Athletics event,Sofia Nielsen,Bronze
1976,Montreal,CAN,USA,United States,Football,Football team event,Ana Wang,Gold
1972,Munich,FRG,HUN,Hungary,Weightlifting,Weightlifting event,Pavel Costa,Bronze
2016,Rio,BRA,JAM,Jamaica,Hockey,Hockey team event,Carlos Ahmed,Bronze
1964,Tokyo,JPN,HUN,Hungary,Football,Football team event,Wei Muller,Gold
2016,Rio,BRA,GER,Germany,Football,Football team event,Omar Okafor,Silver
2008,Beijing,CHN,HUN,Hungary,Relays,Relays team event,John Zhang,Silver
2012,London,GBR,CUB,Cuba,Swimming,Swimming event,Sven Wang,Silver
1988,Seoul,KOR,ITA,Italy,Rowing,Rowing team event,John Park,Silver
2000,Sydney,AUS,NED,Netherlands,Handball,Handball team event,Liu Lopez,Silver
1980,Moscow,URS,URS,Soviet Union,Fencing,Fencing event,Nadia Petrov,Gold
2000,Sydney,AUS,RUS,Russia,Football,Football team event,Wei Costa,Silver
1988,Seoul,KOR,JPN,Japan,Volleyball,Volleyball team event,Marco Tanaka,Gold
2012,London,GBR,BRA,Brazil,Weightlifting,Weightlifting event,Anna Okafor,Silver
1988,Seoul,KOR,JAM,Jamaica,Diving,Diving event,Omar Kovac,Bronze
2016,Rio,BRA,SVK,Slovakia,Shooting,Shooting event,Lars Kovac,Gold
2000,Sydney,AUS,RUS,Russia,Boxing,Boxing event,Elena Rossi,Bronze
1960,Rome,ITA,TCH,Czechoslovakia,Gymnastics,Gymnastics event,Sofia Park,Silver
2004,Athens,GRC,CHN,China,Volleyball,Volleyball team event,Diego Park,Bronze
2008,Beijing,CHN,GBR,Great Britain,Rowing,Rowing team event,Wei Park,Silver
1996,Atlanta,USA,ESP,Spain,Athletics,Athletics event,Wei Novak,Silver
1988,Seoul,KOR,GDR,East Germany,WaterPolo,WaterPolo team event,Nadia Rossi,Gold
2004,Athens,GRC,CAN,Canada,Fencing,Fencing event,Alex Okafor,Gold
1964,Tokyo,JPN,GDR,East Germany,Wrestling,Wrestling event,Yuki Zhang,Silver
1988,Seoul,KOR,HUN,Hungary,Hockey,Hockey team event,Sven Tanaka,Bronze
1984,Los Angeles,USA,CAN,Canada,WaterPolo,WaterPolo team event,Lars Park,Gold
2008,Beijing,CHN,USA,United States,Wrestling,Wrestling event,Marco Lopez,Gold
1964,Tokyo,JPN,GBR,Great Britain,Basketball,Basketball team event,Pavel Muller,Bronze
1960,Rome,ITA,CHN,China,Relays,Relays team event,Lars Zhang,Gold
2016,Rio,BRA,GRC,Greece,Swimming,Swimming event,Elena Andersson,Bronze
1960,Rome,ITA,GBR,Great Britain,Handball,Handball team event,Nadia Kim,Silver
2000,Sydney,AUS,ITA,Italy,WaterPolo,WaterPolo team event,Wei Andersson,Gold
1984,Los Angeles,USA,KOR,South Korea,Hockey,Hockey team event,Diego Muller,Gold
1960,Rome,ITA,GBR,Great Britain,Athletics,Athletics event,Yuki Petrov,Gold
1980,Moscow,URS,URS,Soviet Union,WaterPolo,WaterPolo team event,John Petrov,Bronze
1964,Tokyo,JPN,URS,Soviet Union,WaterPolo,WaterPolo team event,Maria Silva,Gold
1988,Seoul,KOR,CHN,China,Weightlifting,Weightlifting event,Carlos Tanaka,Silver
2004,Athens,GRC,JPN,Japan,Hockey,Hockey team event,Elena Costa,Bronze
1996,Atlanta,USA,NED,Netherlands,Football,Football team event,Yuki Muller,Silver
1976,Montreal,CAN,URS,Soviet Union,Basketball,Basketball team event,Alex Zhang,Gold
2008,Beijing,CHN,CHN,China,Swimming,Swimming event,Maria Silva,Gold
2008,Beijing,CHN,NED,Netherlands,Boxing,Boxing event,John Novak,Gold
1980,Moscow,URS,URS,Soviet Union,Rowing,Rowing team event,Kenji Novak,Bronze
1972,Munich,FRG,FRG,West Germany,Athletics,Athletics event,Maria Park,Bronze
2012,London,GBR,GBR,Great Britain,Handball,Handball team event,Kenji Smith,Silver
1968,Mexico City,MEX,FRG,West Germany,Boxing,Boxing event,Alex Tanaka,Bronze
1984,Los Angeles,USA,USA,United States,Basketball,Basketball team event,Marco Tanaka,Bronze
2012,London,GBR,HUN,Hungary,Hockey,Hockey team event,John Okafor,Gold
1988,Seoul,KOR,ITA,Italy,Basketball,Basketball team event,Maria Nielsen,Silver
2016,Rio,BRA,ESP,Spain,Football,Football team event,Lars Rossi,Gold
1996,Atlanta,USA,AUS,Australia,Rowing,Rowing team event,Wei Ahmed,Bronze
2004,Athens,GRC,USA,United States,Rowing,Rowing team event,Maria Petrov,Gold
1976,Montreal,CAN,GBR,Great Britain,Relays,Relays team event,Anna Muller,Gold
2016,Rio,BRA,NED,Netherlands,Volleyball,Volleyball team event,Ana Petrov,Bronze
2004,Athens,GRC,SVK,Slovakia,Football,Football team event,Ivan Smith,Silver
1988,Seoul,KOR,BRA,Brazil,Athletics,Athletics event,Lars Zhang,Gold
1996,Atlanta,USA,FRA,France,Rowing,Rowing team event,Sven Okafor,Bronze
1976,Montreal,CAN,HUN,Hungary,Rowing,Rowing team event,Yuki Okafor,Silver
1992,Barcelona,ESP,CAN,Canada,Boxing,Boxing event,Nadia Petrov,Gold
2004,Athens,GRC,JPN,Japan,Gymnastics,Gymnastics event,Sven Kovac,Bronze
2016,Rio,BRA,SVK,Slovakia,Basketball,Basketball team event,Ivan Novak,Bronze
1980,Moscow,URS,URS,Soviet Union,Handball,Handball team event,Carlos Novak,Silver
2008,Beijing,CHN,GER,Germany,Athletics,Athletics event,Wei Park,Silver
2016,Rio,BRA,USA,United States,Football,Football team event,Liu Lopez,Silver
2004,Athens,GRC,JPN,Japan,Boxing,Boxing event,Pavel Muller,Gold
1976,Montreal,CAN,USA,United States,Gymnastics,Gymnastics event,Marco Park,Bronze
2012,London,GBR,GBR,Great Britain,Basketball,Basketball team event,Ana Nielsen,Gold
2008,Beijing,CHN,ITA,Italy,WaterPolo,WaterPolo team event,Omar Wang,Bronze
1972,Munich,FRG,MEX,Mexico,Athletics,Athletics event,Anna Muller,Bronze
1968,Mexico City,MEX,GBR,Great Britain,Rowing,Rowing team event,Wei Tanaka,Gold
2016,Rio,BRA,CHN,China,WaterPolo,WaterPolo team event,Maria Novak,Bronze
1968,Mexico City,MEX,URS,Soviet Union,Fencing,Fencing event,Diego Smith,Gold
1968,Mexico City,MEX,KOR,South Korea,Basketball,Basketball team event,Pavel Costa,Bronze
2000,Sydney,AUS,KEN,Kenya,Athletics,Athletics event,Pavel Park,Silver
2000,Sydney,AUS,CAN,Canada,Boxing,Boxing event,Lars Novak,Gold
1988,Seoul,KOR,AUS,Australia,Football,Football team event,Sofia Nielsen,Bronze
1968,Mexico City,MEX,BRA,Brazil,Diving,Diving event,Wei Lopez,Silver
1992,Barcelona,ESP,AUS,Australia,WaterPolo,WaterPolo team event,Elena Novak,Gold
2004,Athens,GRC,USA,United States,Basketball,Basketball team event,Sven Ahmed,Bronze
2008,Beijing,CHN,KEN,Kenya,Judo,Judo event,Ana Kim,Gold
1992,Barcelona,ESP,NOR,Norway,Boxing,Boxing event,Alex Smith,Bronze
1976,Montreal,CAN,GBR,Great Britain,Swimming,Swimming event,Sofia Tanaka,Silver
1992,Barcelona,ESP,KOR,South Korea,Volleyball,Volleyball team event,Wei Kim,Bronze
1992,Barcelona,ESP,GRC,Greece,Hockey,Hockey team event,Lars Zhang,Bronze
1996,Atlanta,USA,NOR,Norway,Athletics,Athletics event,Nadia Andersson,Silver
1996,Atlanta,USA,GER,Germany,Basketball,Basketball team event,Kenji Nielsen,Gold
2016,Rio,BRA,GBR,Great Britain,WaterPolo,WaterPolo team event,Ivan Ahmed,Silver
1960,Rome,ITA,KEN,Kenya,Diving,Diving event,Kenji Andersson,Bronze
2016,Rio,BRA,GER,Germany,Football,Football team event,Carlos Nielsen,Silver
2004,Athens,GRC,AUS,Australia,Football,Football team event,Elena Kim,Bronze
1964,Tokyo,JPN,GRC,Greece,Cycling,Cycling event,John Zhang,Silver
2016,Rio,BRA,RUS,Russia,Hockey,Hockey team event,Elena Petrov,Bronze
1960,Rome,ITA,ITA,Italy,Fencing,Fencing event,Pavel Lopez,Bronze
2012,London,GBR,CZE,Czech Republic,Athletics,Athletics event,Wei Okafor,Bronze
1976,Montreal,CAN,CHN,China,Volleyball,Volleyball team event,Elena Costa,Gold
2008,Beijing,CHN,CAN,Canada,Handball,Handball team event,Sofia Rossi,Silver
1976,Montreal,CAN,KOR,South Korea,Swimming,Swimming event,Anna Wang,Bronze
1984,Los Angeles,USA,GBR,Great Britain,WaterPolo,WaterPolo team event,Maria Ahmed,Gold
1976,Montreal,CAN,CAN,Canada,Swimming,Swimming event,Kenji Lopez,Silver
1992,Barcelona,ESP,GBR,Great Britain,Shooting,Shooting event,Marco Nielsen,Bronze
2004,Athens,GRC,GER,Germany,Volleyball,Volleyball team event,Pavel Smith,Silver
2016,Rio,BRA,GER,Germany,Handball,Handball team event,Ana Kovac,Gold
2008,Beijing,CHN,USA,United States,Handball,Handball team event,Alex Kovac,B
2000,Sydney,AUS,CRO,Croatia,Football,Football team event,Maria Kim,Silver
2008,Beijing,CHN,USA,United States,WaterPolo,WaterPolo team event,Pavel Lopez,Bronze
2012,London,GBR,RUS,Russia,Hockey,Hockey team event,Yuki Wang,Silver
1996,Atlanta,USA,NED,Netherlands,Handball,Handball team event,Ana Silva,Silver
1968,Mexico City,MEX,URS,Soviet Union,Rowing,Rowing team event,Alex Tanaka,Gold
1980,Moscow,URS,URS,Soviet Union,Relays,Relays team event,Nadia Andersson,Gold
1968,Mexico City,MEX,CHN,China,Athletics,Athletics event,Lars Muller,Gold
1968,Mexico City,MEX,GBR,Great Britain,Weightlifting,Weightlifting event,Lars Costa,Silver
1992,Barcelona,ESP,RUS,Russia,Diving,Diving event,Nadia Lopez,Bronze
2008,Beijing,CHN,KOR,South Korea,Swimming,Swimming event,Omar Ahmed,Bronze
1960,Rome,ITA,USA,United States,Swimming,Swimming event,Elena Andersson,Silver
2008,Beijing,CHN,USA,United States,Handball,Handball team event,Nadia Okafor,Silver
2004,Athens,GRC,NOR,Norway,Hockey,Hockey team event,Liu Costa,Gold
1984,Los Angeles,USA,CHN,China,Diving,Diving event,Wei Zhang,Silver
2016,Rio,BRA,NOR,Norway,Football,Football team event,Alex Rossi,Silver
1968,Mexico City,MEX,URS,Soviet Union,Gymnastics,Gymnastics event,John Muller,Gold
1988,Seoul,KOR,AUS,Australia,Football,Football team event,Maria Kovac,Bronze
2012,London,GBR,RUS,Russia,Football,Football team event,Elena Tanaka,Silver
2016,Rio,BRA,USA,United States,Football,Football team event,Pavel Zhang,Silver
1992,Barcelona,ESP,GER,Germany,Wrestling,Wrestling event,Pavel Novak,Bronze
1984,Los Angeles,USA,NED,Netherlands,Relays,Relays team event,Lars Silva,Silver
1976,Montreal,CAN,JAM,Jamaica,Fencing,Fencing event,Elena Ahmed,Bronze
2004,Athens,GRC,BRA,Brazil,Hockey,Hockey team event,Maria Novak,Bronze
2000,Sydney,AUS,RUS,Russia,Swimming,Swimming event,Sven Wang,Silver
2016,Rio,BRA,RUS,Russia,Athletics,Athletics event,Lars Rossi,Silver
1984,Los Angeles,USA,ITA,Italy,WaterPolo,WaterPolo team event,Ana Zhang,Gold
1996,Atlanta,USA,CHN,China,Hockey,Hockey team event,Liu Rossi,Silver
1984,Los Angeles,USA,BRA,Brazil,Volleyball,Volleyball team event,Elena Rossi,Silver
1960,Rome,ITA,ITA,Italy,Athletics,Athletics event,Sven Park,Bronze
2008,Beijing,CHN,USA,United States,Rowing,Rowing team event,Wei Andersson,Gold
1968,Mexico City,MEX,CHN,China,Athletics,Athletics event,Liu Kovac,Gold
2004,Athens,GRC,GER,Germany,Tennis,Tennis event,Anna Petrov,Bronze
1984,Los Angeles,USA,USA,United States,Athletics,Athletics event,Alex Andersson,Bronze
1972,Munich,FRG,URS,Soviet Union,Swimming,Swimming event,Lars Kovac,Silver 
1976,Montreal,CAN,CAN,Canada,Wrestling,Wrestling event,Carlos Lopez,Bronze
1996,Atlanta,USA,JAM,Jamaica,Swimming,Swimming event,Lars Costa,Silver
1996,Atlanta,USA,USA,United States,Football,Football team event,Alex Okafor,Silver
2000,Sydney,AUS,GBR,Great Britain,Rowing,Rowing team event,Liu Wang,Bronze
1984,Los Angeles,USA,FRG,West Germany,Handball,Handball team event,Wei Kim,Silver
2004,Athens,GRC,USA,United States,Football,Football team event,Omar Rossi,Gold
1980,Moscow,URS,URS,Soviet Union,Cycling,Cycling event,Carlos Zhang,Bronze
1972,Munich,FRG,TCH,Czechoslovakia,Relays,Relays team event,Ana Zhang,Bronze
2016,Rio,BRA,MEX,Mexico,WaterPolo,WaterPolo team event,Ivan Costa,Gold
1980,Moscow,URS,BRA,Brazil,Football,Football team event,Wei Lopez,Gold
1976,Montreal,CAN,CAN,Canada,Athletics,Athletics event,Wei Zhang,Bronze
1964,Tokyo,JPN,USA,United States,Hockey,Hockey team event,Yuki Lopez,Gold
1996,Atlanta,USA,USA,United States,Handball,Handball team event,Omar Rossi,Gold
1968,Mexico City,MEX,NED,Netherlands,Shooting,Shooting event,Marco Ahmed,Gold
1996,Atlanta,USA,JPN,Japan,Swimming,Swimming event,Alex Tanaka,Gold
1996,Atlanta,USA,JPN,Japan,Wrestling,Wrestling event,Wei Wang,Silver
1976,Montreal,CAN,USA,United States,Relays,Relays team event,Omar Rossi,Gold
1992,Barcelona,ESP,GER,Germany,Cycling,Cycling event,Marco Zhang,Bronze
2016,Rio,BRA,GER,Germany,Boxing,Boxing event,Diego Andersson,Gold
1984,Los Angeles,USA,AUS,Australia,Athletics,Athletics event,Ana Costa,Silver
1972,Munich,FRG,CHN,China,Relays,Relays team event,Lars Okafor,Gold
1988,Seoul,KOR,AUS,Australia,Football,Football team event,Ana Nielsen,Bronze
2004,Athens,GRC,CAN,Canada,WaterPolo,WaterPolo team event,Liu Lopez,G
1992,Barcelona,ESP,FRA,France,Hockey,Hockey team event,Pavel Petrov,Gold
2000,Sydney,AUS,HUN,Hungary,Handball,Handball team event,Yuki Wang,Bronze
1960,Rome,ITA,AUS,Australia,Rowing,Rowing team event,Kenji Andersson,Bronze
1988,Seoul,KOR,JPN,Japan,Basketball,Basketball team event,Yuki Muller,Gold
1984,Los Angeles,USA,ITA,Italy,Wrestling,Wrestling event,Anna Wang,Silver
